name,email,telefon,webseite,plz,stadt,straße,lat,lng,beansprucht
Dr. med. Isabelle Neuss-Beckers,bisshaben@gmx.de,0241 6 50 10,https://www.kieferorthopaedie-aachen.com/,52066,Aachen,Eupener Str. 213,5.074.886,60.874.036,nein
Huppertz Susanne Dr. Zahnärztin,dr.huppertz@hotmail.de,0241 7 34 23,https://www.zahnarztpraxis-dr-s-huppertz-aachen.de/,52064,Aachen,Hohenstaufenallee 31,507.642.388,60.769.459,nein
Vlaicu Sanda Iulia Zahnarztpraxis,dr.sandra.vlaicu@t-online.de,0241 7 75 49,,52072,Aachen,Süsterfeldstr. 3,5.346.062.999.999.990,997.796,nein
Zahnarztpraxis Tomko M. Dr. Zahnarzt,dr.tomko@arcor.de,0241 40 40 33,https://www.drtomko-zahnarzt-aachen.com/,52064,Aachen,Karlsgraben 23,50.773.205,60.762.578,nein
Posten Jörg Dr.med.dent Zahnarzt,empfang@dr-posten.de,0241 2 50 32,https://www.dr-posten.de/,52062,Aachen,Theaterstr. 58,52.453.204,135.204.381,nein
Schmidt Hanno Dr. Zahnarzt,info@aixdent.de,0241 6 45 54,https://www.aixdent.de/,52066,Aachen,Eupener Str. 73,5.141.805.309.999.990,6.900.059,nein
"Thomas, Nathalie Dr.med.dent.",info@dent-ac.de,0241 2 26 00,https://www.dent-ac.de/,52062,Aachen,Theaterplatz 17,50.141.943,86.105.073,nein
Busche Georg Dr. Zahnarzt & Oralchirurgie,info@dr-busche-implantate.de,0241 2 09 99,https://www.dr-busche-implantate.de/,52062,Aachen,Theaterplatz 9,50.772.695,60.878.169,nein
Harst Oliver Dr. med. dent. Zahnarzt,info@dr-harst.de,0241 2 88 55,https://www.dr-harst.de/,52066,Aachen,Luxemburger Ring 25,507.498.569,60.832.914,nein
Haselhuhn Klaus Dr. Zahnarztpraxis,info@dr-haselhuhn.de,0241 9 89 09 89,https://www.dr-haselhuhn.de/,52066,Aachen,Eupener Str. 181,507.521.291,60.860.993,nein
Besel Simone Dr.med.dent.,info@dr-simone-besel.de,0241 3 28 21,https://www.dr-simone-besel.de/,52062,Aachen,Theaterplatz 13,507.726.067,60.880.117,nein
"iodent, Dr. Andrei Silviu Ionita",info@iodent-ac.de,0241 57 90 07 39,https://www.iodent-ac.de/,52066,Aachen,Adalbertsteinweg 122-124,5.385.349.919.999.990,106.886.744,nein
Borgmann Kathy Dr. med. dent.,info@kfo-borgmann.de,0241 2 84 35,https://www.kfo-borgmann.de/,52062,Aachen,Kapuzinergraben 18-22,4.812.749.729.999.990,115.571.863,nein
Kuiff Wolfram Dr. med. dent.,info@kuiff.de,02405 9 20 20,https://www.kuiff.de/,52080,Aachen,Verlautenheidener Str. 104,5.250.145.939.999.990,133.033.148,nein
Herbort Marita Zahnarztpraxis,info@marita-herbort.de,0241 3 65 66,https://www.marita-herbort.de/,52062,Aachen,Alexanderstr. 11-15,507.783.462,60.883.169,nein
Heinz Miriam Zahnarztpraxis,info@mh-dental.de,0241 87 77 81,https://www.mh-dental.de/,52074,Aachen,Steppenbergallee 14,507.691.765,60.429.833,nein
Al-Madhi Mujkic Gemeinschaftspraxis für Zahnärzte,info@myzahngesundheit.de,0241 3 87 47,https://www.myzahngesundheit.de/,52062,Aachen,Wirichsbongardstr. 5-9,507.734.861,60.876.919,nein
Appel Christian Dr. Zahnarztpraxis,info@praxis-appel.de,0241 4 13 10 00,https://www.praxis-appel.de/,52064,Aachen,Maria-Theresia-Allee 77,507.592.624,60.792.854,nein
Brawek Petya Zahnarztpraxis,info@praxis-brawek.de,0241 50 25 27,https://www.praxis-brawek.de/,52070,Aachen,Adalbertsteinweg 32-36,4.875.764.419.999.990,92.557.554,nein
Praxis der Zahnheilkunde am Luisenhospital Aachen Dr.med. Martin Emmerich,info@praxisklinikaachen.de,0241 4 00 72 77,https://www.praxisklinikaachen.de/,52064,Aachen,Boxgraben 99,507.681.329,60.768.225,nein
Berkant Memisi Zahnarzt,info@praxismemisi.de,0241 54 30 54,https://www.praxismemisi.de/,52066,Aachen,Kurbrunnenstr. 48,507.687.194,60.954.893,nein
Praxiszentrum für Implantologie,info@praxiszentrum-aachen.de,0241 94 37 90 44,https://www.praxiszentrum-aachen.de/,52062,Aachen,Schumacherstr. 14,507.773.761,60.917.595,nein
Wetzel Katherine Zahnärztin,info@zaehne-ok.de,0241 55 08 10,https://www.zaehne-ok.de/,52080,Aachen,Severinstr. 119,507.811.353,61.543.302,nein
Frenzel Ute MSc u. Frenzel Walter Zahnärztliche Gemeinschaftspraxis,info@zahnaerzte-frenzel.de,0241 50 01 00,https://www.zahnaerzte-frenzel.de/,52068,Aachen,Elsassplatz 8,5.060.604.000.000.000,630.343,nein
Bosman David Dr.med.dent.,info@zahnarzt-bosman.de,0241 40 30 03,https://www.zahnarzt-bosman.de/,52062,Aachen,Annastr. 42,48.778.309,91.623.403,nein
Feld Jennifer Dr.med.dent. Zahnärztin,info@zahnheilkunde-aachen.de,0241 3 99 28,https://www.zahnheilkunde-aachen.de/,52062,Aachen,Harscampstr. 38-42,507.726.242,60.915.864,nein
Wienert Anna Lena Dr. Zahnarzt Praxis,info@zahnleben-aachen.de,0241 54 34 44,https://www.zahnleben-aachen.de/,52070,Aachen,Wilhelmstr. 5,5.077.425,60.962.453,nein
Hawari Ayichah Zahnärztin,info@zahnpraxis-Hawari.de,0241 50 66 69,https://www.zahnpraxis-hawari.de/,52070,Aachen,Augustastr. 1,507.728.514,60.965.776,nein
